daf,amud,entry_letter,local_letters,raw_text,text,url
19,b,צה,ד,,,
20,a,,,דם,"רמב""ם דם",
20,a,צו,ג ב א,"מיי' פ""ה מהל' איסורי ביאה הלכה ח:","רמב""ם פרק ה מהלכות איסורי ביאה הלכה ח",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%94_%D7%97
20,a,צז,ה ד,מיי' שם הל' ט:,"רמב""ם פרק ה מהלכות איסורי ביאה הלכה ט",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%94_%D7%98
20,a,צח,ו,מיי' שם הל' יב:,"רמב""ם פרק ה מהלכות איסורי ביאה הלכה יב",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%94_%D7%99%D7%91
20,a,צט,ז,דרך מיי' שם הל' ט:,"רמב""ם דרך רמב""ם שם הלכה ט",
20,a,ק,ח,מיי' שם הלכה י:,"רמב""ם פרק ה מהלכות איסורי ביאה הלכה י",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%94_%D7%99
20,a,קא,מ ל כ י ט,מיי' שם מכאן משמע הלכה ח:,"רמב""ם שם מכאן משמע הלכה ח",
20,b,קב,א,"טוש""ע י""ד סי' סעיף לא בהג""ה:",טור שולחן ערוך יורה דעה סימן סעיף לא בהגהה,https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A_%D7%99%D7%95%D7%A8%D7%94_%D7%93%D7%A2%D7%94_%D7%A1%D7%A2%D7%99%D7%A3
20,b,קג,ב,"ביאה הל' י סמג קיא טוש""ע י""ד סימן סעיף ב:","רמב""ם ביאה הלכה י
סמג קיא
טור שולחן ערוך יורה דעה סימן סעיף ב",https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A_%D7%99%D7%95%D7%A8%D7%94_%D7%93%D7%A2%D7%94_%D7%A1%D7%A2%D7%99%D7%A3
20,b,קד,ג,"טוש""ע שם איפשיטא ולחומרא:",טור שולחן ערוך שם איפשיטא ולחומרא,
20,b,קה,ד,מיי' שם הל',"רמב""ם פרק ה מהלכות איסורי ביאה הלכה",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%94
21,a,,,דקסבר ר' יהודה דם נדות הוא,"רמב""ם דקסבר ר' יהודה דם נדות הוא",
21,a,קו,א,"מיי' פ""ה מהלכות איסורי ביאה הל' י:","רמב""ם פרק ה מהלכות איסורי ביאה הלכה י",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%94_%D7%99
21,a,א,ב,"מיי' פ""ה מהלכות","רמב""ם פרק ה מהלכות",
21,b,ו,א,"טוש""ע י""ד סי' סעיף ג ועי' יג ובהגהות מיי' ריש פ""י:","טור שולחן ערוך יורה דעה סימן סעיף ג ועיין יג ובהגהות רמב""ם ריש פרק י",https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A_%D7%99%D7%95%D7%A8%D7%94_%D7%93%D7%A2%D7%94_%D7%A1%D7%A2%D7%99%D7%A3
21,b,ז,ב,"מיי' פ""ה איסורי ביאה הל' יג:","רמב""ם פרק ה מהלכות איסורי ביאה איסורי ביאה הלכה יג",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%94_%D7%99%D7%92
21,b,ח,ג,"לאוין קיא טוש""ע י""ד קצד סעיף ג:","רמב""ם לאוין קיא
טור שולחן ערוך יורה דעה קצד סעיף ג",
21,b,ט,ד,"מיי' שם פ""ה הל' סמג שם טור ש""ע סי' קפח סעיף ה:","רמב""ם פרק ה מהלכות איסורי ביאה הלכה
סמג קיא טור שולחן ערוך סימן קפח סעיף ה",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%94
21,b,י,ו ה,"מיי' שם הל' טז בהשגות ובמ""מ סמג שם טוש""ע י""ד קפח סעיף ג:","רמב""ם פרק ה מהלכות איסורי ביאה הלכה טז בהשגות ובמגיד משנה
סמג קיא טור שולחן ערוך סימן קפח סעיף ה
טור שולחן ערוך יורה דעה קפח סעיף ג",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%94_%D7%98%D7%96
22,a,יא,ב א,"פ""ה ודפלי פלויי וקשה דא""כ השתא אין דרך מיי' פ""ה מהל' שאר אבות הטומאה הלכה א ועי' הוי כההוא דאין בכ""מ:","רמב""ם פרק ה ודפלי פלויי וקשה דא""כ השתא אין דרך רמב""ם פרק ה מהלכות שאר אבות הטומאה הלכה א ועיין הוי כההוא דאין בכסף משנה",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%A9%D7%90%D7%A8_%D7%90%D7%91%D7%95%D7%AA_%D7%94%D7%98%D7%95%D7%9E%D7%90%D7%94_%D7%94_%D7%90
22,a,יב,ד ג,"מיי' פ""ג מהל' מחוסרי כפרה הלכה א ב:","רמב""ם פרק ג מהלכות מחוסרי כפרה הלכה א ב",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%97%D7%95%D7%A1%D7%A8%D7%99_%D7%9B%D7%A4%D7%A8%D7%94_%D7%92_%D7%90
22,a,יג,ה,"מיי' פ""ה מהלכות איסורי לבשר ביאה הלכה יד סמג לאוין דדרכה לצאת בענין זה קיא טוש""ע י""ד סימן קפח סעיף ד:","רמב""ם פרק ה מהלכות איסורי לבשר ביאה הלכה יד
סמג לאוין דדרכה לצאת בענין זה קיא
טור שולחן ערוך יורה דעה סימן קפח סעיף ד","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%9C%D7%91%D7%A9%D7%A8_%D7%91%D7%99%D7%90%D7%94_%D7%94_%D7%99%D7%93
https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%9C%D7%90%D7%95_%D7%93%D7%93%D7%A8%D7%9B%D7%94
https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A_%D7%99%D7%95%D7%A8%D7%94_%D7%93%D7%A2%D7%94_%D7%A7%D7%A4%D7%97_%D7%93"
22,a,יד,ו,"מיי' פ""ב מהלכות מטמאי דם משכב ומושב הלכה א סמג עשין רמג:","רמב""ם פרק ב מהלכות מטמאי דם משכב ומושב הלכה א
סמג עשין רמג","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%98%D7%9E%D7%90%D7%99_%D7%93%D7%9D_%D7%9E%D7%A9%D7%9B%D7%91_%D7%95%D7%9E%D7%95%D7%A9%D7%91_%D7%91_%D7%90
https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%A2%D7%A9%D7%94_%D7%A8%D7%9E%D7%92"
22,a,טו,ז,"מיי' פ""ב מהלכות טומאת פלויי המת הלכה א:","רמב""ם פרק ב מהלכות טומאת פלויי המת הלכה א",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%98%D7%95%D7%9E%D7%90%D7%AA_%D7%A4%D7%9C%D7%95%D7%99%D7%99_%D7%94%D7%9E%D7%AA_%D7%91_%D7%90
22,a,טז,ח,"מיי' פ""ה מהל' איסורי גם רבנן מטמאין כיון דדם נדות הוא ביאה הלכה יד סמג לאוין","רמב""ם פרק ה מהלכות איסורי גם רבנן מטמאין כיון דדם נדות הוא ביאה הלכה יד
סמג לאוין",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%92%D7%9D_%D7%A8%D7%91%D7%A0%D7%9F_%D7%9E%D7%98%D7%9E%D7%90%D7%99%D7%9F_%D7%9B%D7%99%D7%95%D7%9F_%D7%93%D7%93%D7%9D_%D7%A0%D7%93%D7%95%D7%AA_%D7%94%D7%95%D7%90_%D7%91%D7%99%D7%90%D7%94_%D7%94_%D7%99%D7%93
22,b,יז,ג ב א,"מיי' פ""ה איסורי ביאה הלכה ועי' במ""מ סמג לאוין טוש""ע י""ד ד:","רמב""ם פרק ה מהלכות איסורי גם רבנן מטמאין כיון דדם נדות הוא ביאה איסורי ביאה הלכה ועיין במגיד משנה
סמג לאוין
טור שולחן ערוך יורה דעה ד",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%92%D7%9D_%D7%A8%D7%91%D7%A0%D7%9F_%D7%9E%D7%98%D7%9E%D7%90%D7%99%D7%9F_%D7%9B%D7%99%D7%95%D7%9F_%D7%93%D7%93%D7%9D_%D7%A0%D7%93%D7%95%D7%AA_%D7%94%D7%95%D7%90_%D7%91%D7%99%D7%90%D7%94_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%94_%D7%95%D7%A2%D7%99%D7%99%D7%9F
23,a,יח,א,"דאדם מיי' פ""י מהלכות איסורי ביאה הלכה י:","רמב""ם דאדם רמב""ם פרק י מהלכות איסורי ביאה הלכה י",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%99_%D7%99
23,a,יט,ב,"מיי' פ""ב מהלכות בסמוך:","רמב""ם פרק ב מהלכות בסמוך",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%91%D7%A1%D7%9E%D7%95%D7%9A_%D7%91
23,b,כ,א,הלכה י סמג עשין ו:,"רמב""ם הלכה י
סמג עשין ו",https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%A2%D7%A9%D7%94_%D7%95
23,b,כא,ב,"מיי' פי""א בכורים הלכה טו עשין קמד טוש""ע י""ד שה סעיף כב:","רמב""ם פרק יא מהלכות בסמוך בכורים הלכה טו עשין קמד
טור שולחן ערוך יורה דעה שה סעיף כב",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%91%D7%A1%D7%9E%D7%95%D7%9A_%D7%91%D7%9B%D7%95%D7%A8%D7%99%D7%9D_%D7%99%D7%90_%D7%98%D7%95
23,b,כב,ג,"מיי' פ""א מאכלות אסורות ז סימן יג סעיף ה:","רמב""ם פרק א מהלכות בסמוך מאכלות אסורות ז סימן יג סעיף ה",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%91%D7%A1%D7%9E%D7%95%D7%9A_%D7%9E%D7%90%D7%9B%D7%9C%D7%95%D7%AA_%D7%90%D7%A1%D7%95%D7%A8%D7%95%D7%AA_%D7%96_%D7%A1%D7%99%D7%9E%D7%9F_%D7%99%D7%92_%D7%A1%D7%A2%D7%99%D7%A3_%D7%94_%D7%90
23,b,כג,ד,"קיא טור י""ד סימן קצד:","רמב""ם קיא טור יורה דעה סימן קצד",
23,b,כד,ה,מיי' שם הלכה,"רמב""ם פרק א מהלכות בסמוך הלכה",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%91%D7%A1%D7%9E%D7%95%D7%9A_%D7%90
23,b,כה,ז ו,מיי' שם הלכה סמג שם טור שם:,"רמב""ם פרק א מהלכות בסמוך הלכה
סמג עשין ו טור שם","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%91%D7%A1%D7%9E%D7%95%D7%9A_%D7%90
https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%A2%D7%A9%D7%94_%D7%95"
24,a,כו,א,"ולמעלה מיי' פ""י מהלכות איסורי ביאה הלכה יא:","רמב""ם ולמעלה רמב""ם פרק י מהלכות איסורי ביאה הלכה יא",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%99_%D7%99%D7%90
24,a,כז,ב,"מיי' פי""א מהלכות בפרקין שחיטה הלכה א ]ופ""ד מהלכות מאכלות אסורות כשניכר שהמותר נמחה כשפירש א""נ כאן מיירי הלכה ט[ סמג לאוין קלב כגון טוש""ע י""ד סי' נז סעיף יח נקרם:","רמב""ם פרק יא מהלכות בפרקין שחיטה הלכה א
רמב""ם פרק ד מהלכות מאכלות אסורות כשניכר שהמותר נמחה כשפירש א""נ כאן מיירי הלכה ט
סמג לאוין קלב כגון
טור שולחן ערוך יורה דעה סימן נז סעיף יח נקרם","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%91%D7%A4%D7%A8%D7%A7%D7%99%D7%9F_%D7%A9%D7%97%D7%99%D7%98%D7%94_%D7%99%D7%90_%D7%90
https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%9C%D7%90%D7%95_%D7%A7%D7%9C%D7%91
https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A_%D7%99%D7%95%D7%A8%D7%94_%D7%93%D7%A2%D7%94_%D7%A0%D7%96_%D7%99%D7%97"
24,a,כח,ג,"מיי' שם פ""ג הלכה יט","רמב""ם פרק ג מהלכות מאכלות אסורות כשניכר שהמותר נמחה כשפירש א""נ כאן מיירי הלכה יט",
24,b,לה,ב א,"מיי' פ""י איסורי ביאה הלכה טור י""ד סי' קצד:","רמב""ם פרק י מהלכות מאכלות אסורות כשניכר שהמותר נמחה כשפירש א""נ כאן מיירי איסורי ביאה הלכה טור יורה דעה סימן קצד",
24,b,לו,ד ג,מיי' שם הלכה,"רמב""ם פרק י מהלכות מאכלות אסורות כשניכר שהמותר נמחה כשפירש א""נ כאן מיירי הלכה",
24,b,לז,ה,מיי' שם הלכה ד טמאה שאין אנו בצורות:,"רמב""ם פרק י מהלכות מאכלות אסורות כשניכר שהמותר נמחה כשפירש א""נ כאן מיירי הלכה ד טמאה שאין אנו בצורות",
24,b,לח,ו,מיי' שם הלכה,"רמב""ם פרק י מהלכות מאכלות אסורות כשניכר שהמותר נמחה כשפירש א""נ כאן מיירי הלכה",
24,b,לט,ז,"שם טור ש""ע שם:","רמב""ם שם טור שולחן ערוך פרק י מהלכות מאכלות אסורות כשניכר שהמותר נמחה כשפירש א""נ כאן מיירי",
25,a,,,"ואינו כן דאם כן ה""ל","רמב""ם ואינו כן דאם כן ה""ל",
25,a,מ,א,"מיי' פ""י מהלכות איסורי ביאה הלכה ד:","רמב""ם פרק י מהלכות איסורי ביאה הלכה ד",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%99_%D7%93
25,a,מא,ב,"מיי' פ""ד מהלכות מים בכורים הלכה י סמג הוי עשין ריא טוש""ע י""ד סימן שטו סעיף ז:","רמב""ם פרק ד מהלכות מים בכורים הלכה י
סמג הוי עשין ריא
טור שולחן ערוך יורה דעה סימן שטו סעיף ז","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%99%D7%9D_%D7%91%D7%9B%D7%95%D7%A8%D7%99%D7%9D_%D7%93_%D7%99
https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%A2%D7%A9%D7%94_%D7%A8%D7%99%D7%90
https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A_%D7%99%D7%95%D7%A8%D7%94_%D7%93%D7%A2%D7%94_%D7%A9%D7%98%D7%95_%D7%96"
25,a,מב,ג,"מיי' פי""א מהלכות","רמב""ם פרק יא מהלכות",
25,b,מד,ה ד ג ב א,מיי' ג סמג לאוין קיא:,"רמב""ם ג
סמג לאוין קיא",https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%9C%D7%90%D7%95_%D7%A7%D7%99%D7%90
25,b,מה,ט ח ז ו,יב:,"רמב""ם יב",
26,a,מו,א,"אע""ג מיי' פ""ב מהלכות נחלות הל' י סמג עשין יש צז טוש""ע ח""מ סי' רעז סעיף והא ו:","רמב""ם אע""ג רמב""ם פרק ב מהלכות נחלות הלכה י
סמג עשין יש צז
טור שולחן ערוך ח""מ סימן רעז סעיף והא ו","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%A0%D7%97%D7%9C%D7%95%D7%AA_%D7%91_%D7%99
https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%A2%D7%A9%D7%94_%D7%99%D7%A9
https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A_%D7%97%D7%95%D7%A9%D7%9F_%D7%9E%D7%A9%D7%A4%D7%98_%D7%A8%D7%A2%D7%96_%D7%95%D7%94%D7%90"
26,a,מז,ב,"מיי' פי""א מהלכות ביה בכורים הל' יד סמג חיותא עשין קמד טוש""ע י""ד סימן דמשמע שם סעיף כב:","רמב""ם פרק יא מהלכות ביה בכורים הלכה יד
סמג חיותא עשין קמד
טור שולחן ערוך יורה דעה סימן דמשמע שם סעיף כב","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%91%D7%99%D7%94_%D7%91%D7%9B%D7%95%D7%A8%D7%99%D7%9D_%D7%99%D7%90_%D7%99%D7%93
https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%A2%D7%A9%D7%94_%D7%A7%D7%9E%D7%93
https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A_%D7%99%D7%95%D7%A8%D7%94_%D7%93%D7%A2%D7%94_%D7%93%D7%9E%D7%A9%D7%9E%D7%A2_%D7%9B%D7%91"
26,a,מח,ג,"מיי' פ""י מהלכות אינו איסורי ביאה הלכה יב לחיות ופ""א מהל' מחוסרי כפרה הלכה ו:","רמב""ם פרק י מהלכות אינו איסורי ביאה הלכה יב לחיות
רמב""ם פרק א מהלכות מחוסרי כפרה הלכה ו","https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%90%D7%99%D7%A0%D7%95_%D7%90%D7%99%D7%A1%D7%95%D7%A8%D7%99_%D7%91%D7%99%D7%90%D7%94_%D7%99_%D7%99%D7%91
https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%97%D7%95%D7%A1%D7%A8%D7%99_%D7%9B%D7%A4%D7%A8%D7%94_%D7%90_%D7%95"
26,a,מט,ד,"מיי' פכ""ה מהל' מדנפיק טומאת מת הל' י:","רמב""ם פרק כה מהלכות מדנפיק טומאת מת הלכה י",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%9E%D7%93%D7%A0%D7%A4%D7%99%D7%A7_%D7%98%D7%95%D7%9E%D7%90%D7%AA_%D7%9E%D7%AA_%D7%9B%D7%94_%D7%99
26,a,נ,ה,"מיי' פ""י מהלכות איסורי רובי' סנדל דלית ביה חיותא מדנפיק ביאה הל' יד:","רמב""ם פרק י מהלכות איסורי רובי' סנדל דלית ביה חיותא מדנפיק ביאה הלכה יד",
26,a,נא,ז ו,מיי' שם הל' יג:,"רמב""ם פרק י מהלכות איסורי רובי' סנדל דלית ביה חיותא מדנפיק ביאה הלכה יג",
26,a,נב,ח,"מיי' פ""א מהלכות הראש אבל כל הגוף פשיטא דלא צריך שופר הלכה ה וע""ש וא""ת","רמב""ם פרק א מהלכות הראש אבל כל הגוף פשיטא דלא צריך שופר הלכה ה ועיין שם וא""ת",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%94%D7%A8%D7%90%D7%A9_%D7%90%D7%91%D7%9C_%D7%9B%D7%9C_%D7%94%D7%92%D7%95%D7%A3_%D7%A4%D7%A9%D7%99%D7%98%D7%90_%D7%93%D7%9C%D7%90_%D7%A6%D7%A8%D7%99%D7%9A_%D7%A9%D7%95%D7%A4%D7%A8_%D7%90_%D7%94
26,b,נח,א,הלכה ב:,"רמב""ם הלכה ב",
26,b,נט,ב,מיי' שם פרק הלכה א:,"רמב""ם פרק הלכה מהלכות הראש אבל כל הגוף פשיטא דלא צריך שופר א",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%94%D7%A8%D7%90%D7%A9_%D7%90%D7%91%D7%9C_%D7%9B%D7%9C_%D7%94%D7%92%D7%95%D7%A3_%D7%A4%D7%A9%D7%99%D7%98%D7%90_%D7%93%D7%9C%D7%90_%D7%A6%D7%A8%D7%99%D7%9A_%D7%A9%D7%95%D7%A4%D7%A8_%D7%90_%D7%94%D7%9C%D7%9B%D7%94_%D7%9E%D7%94%D7%9C%D7%9B%D7%95%D7%AA
26,b,ס,ג,"מיי' שם פט""ו","רמב""ם פרק טו מהלכות הראש אבל כל הגוף פשיטא דלא צריך שופר א",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%94%D7%A8%D7%90%D7%A9_%D7%90%D7%91%D7%9C_%D7%9B%D7%9C_%D7%94%D7%92%D7%95%D7%A3_%D7%A4%D7%A9%D7%99%D7%98%D7%90_%D7%93%D7%9C%D7%90_%D7%A6%D7%A8%D7%99%D7%9A_%D7%A9%D7%95%D7%A4%D7%A8_%D7%90_%D7%98%D7%95
26,b,סא,ד,"ביאה הל' יד סמג קיא טוש""ע י""ד סי' סעיף ד:","רמב""ם ביאה הלכה יד
סמג קיא
טור שולחן ערוך יורה דעה סימן סעיף ד",https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A_%D7%99%D7%95%D7%A8%D7%94_%D7%93%D7%A2%D7%94_%D7%A1%D7%A2%D7%99%D7%A3
26,b,סב,ה,"מיי' שם הלכה טוש""ע שם סעיף ז:","רמב""ם פרק טו מהלכות הראש אבל כל הגוף פשיטא דלא צריך שופר א הלכה
טור שולחן ערוך שם סעיף ז",https://he.wikisource.org/wiki/%D7%A8%D7%9E%D7%91%22%D7%9D_%D7%94%D7%9C%D7%9B%D7%95%D7%AA_%D7%94%D7%A8%D7%90%D7%A9_%D7%90%D7%91%D7%9C_%D7%9B%D7%9C_%D7%94%D7%92%D7%95%D7%A3_%D7%A4%D7%A9%D7%99%D7%98%D7%90_%D7%93%D7%9C%D7%90_%D7%A6%D7%A8%D7%99%D7%9A_%D7%A9%D7%95%D7%A4%D7%A8_%D7%90_%D7%98%D7%95
27,a,סג,א,"פי' הקונטרס לר""מ דבחיה ועוף טמאה לידה מיי' פ""י מהל' איסורי ביאה הט""ז סמג לאוין לה קיא ]טוש""ע י""ד סי' קצד לטהרה ס""ד[ :","רמב""ם פי' הקונטרס לר""מ דבחיה ועוף טמאה לידה רמב""ם פרק י מהלכות איסורי ביאה הט""ז
סמג לאוין לה קיא
טור שולחן ערוך יורה דעה סימן קצד לטהרה ס""ד","https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%9C%D7%90%D7%95_%D7%9C%D7%94
https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A_%D7%99%D7%95%D7%A8%D7%94_%D7%93%D7%A2%D7%94_%D7%A7%D7%A6%D7%93"
27,a,סד,ג ב,"מיי' שם הי""ד סמג דשמא אין ולד בשליא וקשה לר""מ אי חיה ועוף זכר אמאי מספקא שליא שם טוש""ע י""ד סי' קצד דשמא ס""ד:","רמב""ם שם הי""ד
סמג דשמא אין ולד בשליא וקשה לר""מ אי חיה ועוף זכר אמאי מספקא שליא לאוין לה קיא
טור שולחן ערוך יורה דעה סימן קצד דשמא ס""ד","https://he.wikisource.org/wiki/%D7%A1%D7%9E%22%D7%92_%D7%9C%D7%90%D7%95_%D7%9C%D7%94
https://he.wikisource.org/wiki/%D7%A9%D7%95%D7%9C%D7%97%D7%9F_%D7%A2%D7%A8%D7%95%D7%9A_%D7%99%D7%95%D7%A8%D7%94_%D7%93%D7%A2%D7%94_%D7%A7%D7%A6%D7%93"
